รุ่น,ความจุ,ราคารับซื้อสูงสุด_บาท,วันที่ดึงราคา,แหล่งข้อมูล,detailId
iPhone 17,256GB,21500.00,2026-09-08T14:27:00.547Z,https://www.yellobe.com/buy,2936
iPhone 17,512GB,23500.00,2026-09-08T14:27:00.547Z,https://www.yellobe.com/buy,2937
iPhone Air,256GB,21000.00,2026-09-08T14:27:01.117Z,https://www.yellobe.com/buy,2939
iPhone Air,512GB,22000.00,2026-09-08T14:27:01.117Z,https://www.yellobe.com/buy,2940
iPhone Air,1TB,23000.00,2026-09-08T14:27:01.117Z,https://www.yellobe.com/buy,2941
iPhone 17 Pro,256GB,31500.00,2026-09-08T14:27:01.675Z,https://www.yellobe.com/buy,2942
iPhone 17 Pro,512GB,33500.00,2026-09-08T14:27:01.675Z,https://www.yellobe.com/buy,2943
iPhone 17 Pro,1TB,35500.00,2026-09-08T14:27:01.675Z,https://www.yellobe.com/buy,2944
iPhone 17 Pro Max,256GB,36500.00,2026-09-08T14:27:02.232Z,https://www.yellobe.com/buy,2946
iPhone 17 Pro Max,512GB,38500.00,2026-09-08T14:27:02.232Z,https://www.yellobe.com/buy,2947
iPhone 17 Pro Max,1TB,40500.00,2026-09-08T14:27:02.232Z,https://www.yellobe.com/buy,2948
iPhone 17 Pro Max,2TB,41500.00,2026-09-08T14:27:02.232Z,https://www.yellobe.com/buy,2949
iPhone 17e,256GB,13000.00,2026-09-08T14:27:02.795Z,https://www.yellobe.com/buy,3116
iPhone 17e,512GB,14000.00,2026-09-08T14:27:02.795Z,https://www.yellobe.com/buy,3117
iPhone 12 Mini,64GB,4000.00,2026-09-08T14:27:03.359Z,https://www.yellobe.com/buy,1125
iPhone 12 Mini,128GB,4500.00,2026-09-08T14:27:03.359Z,https://www.yellobe.com/buy,1126
iPhone 12 Mini,256GB,4700.00,2026-09-08T14:27:03.359Z,https://www.yellobe.com/buy,1127
iPhone 12,64GB,5000.00,2026-09-08T14:24:25.076Z,https://www.yellobe.com/buy,1140
iPhone 12,128GB,5500.00,2026-09-08T14:24:25.076Z,https://www.yellobe.com/buy,1141
iPhone 12,256GB,6000.00,2026-09-08T14:24:25.076Z,https://www.yellobe.com/buy,1142
iPhone 12 Pro,128GB,7000.00,2026-09-08T14:27:03.931Z,https://www.yellobe.com/buy,1170
iPhone 12 Pro,256GB,8000.00,2026-09-08T14:27:03.931Z,https://www.yellobe.com/buy,1171
iPhone 12 Pro,512GB,8500.00,2026-09-08T14:27:03.931Z,https://www.yellobe.com/buy,1172
iPhone 12 Pro Max,128GB,9000.00,2026-09-08T14:27:04.497Z,https://www.yellobe.com/buy,1182
iPhone 12 Pro Max,256GB,10000.00,2026-09-08T14:27:04.497Z,https://www.yellobe.com/buy,1183
iPhone 12 Pro Max,512GB,10500.00,2026-09-08T14:27:04.497Z,https://www.yellobe.com/buy,1184
iPhone 13 Mini,128GB,5500.00,2026-09-08T14:27:05.063Z,https://www.yellobe.com/buy,1898
iPhone 13 Mini,256GB,6500.00,2026-09-08T14:27:05.063Z,https://www.yellobe.com/buy,1899
iPhone 13 Mini,512GB,7000.00,2026-09-08T14:27:05.063Z,https://www.yellobe.com/buy,1900
iPhone 13,128GB,9500.00,2026-09-08T14:27:05.627Z,https://www.yellobe.com/buy,1901
iPhone 13,256GB,10000.00,2026-09-08T14:27:05.627Z,https://www.yellobe.com/buy,1902
iPhone 13,512GB,10500.00,2026-09-08T14:27:05.627Z,https://www.yellobe.com/buy,1903
iPhone 13 Pro,128GB,11000.00,2026-09-08T14:27:06.188Z,https://www.yellobe.com/buy,1904
iPhone 13 Pro,256GB,12000.00,2026-09-08T14:27:06.188Z,https://www.yellobe.com/buy,1905
iPhone 13 Pro,512GB,12500.00,2026-09-08T14:27:06.188Z,https://www.yellobe.com/buy,1906
iPhone 13 Pro Max,128GB,12500.00,2026-09-08T14:27:06.750Z,https://www.yellobe.com/buy,1907
iPhone 13 Pro Max,256GB,13500.00,2026-09-08T14:27:06.750Z,https://www.yellobe.com/buy,1908
iPhone 13 Pro Max,512GB,14000.00,2026-09-08T14:27:06.750Z,https://www.yellobe.com/buy,1909
iPhone 13 Pro Max,1TB,14500.00,2026-09-08T14:27:06.750Z,https://www.yellobe.com/buy,2935
iPhone 14 Pro Max,128GB,17000.00,2026-09-08T14:27:07.307Z,https://www.yellobe.com/buy,2113
iPhone 14 Pro Max,256GB,18000.00,2026-09-08T14:27:07.307Z,https://www.yellobe.com/buy,2114
iPhone 14 Pro Max,512GB,19000.00,2026-09-08T14:27:07.307Z,https://www.yellobe.com/buy,2115
iPhone 14 Pro Max,1TB,19500.00,2026-09-08T14:27:07.307Z,https://www.yellobe.com/buy,2116
iPhone 14 Pro,128GB,15000.00,2026-09-08T14:27:07.871Z,https://www.yellobe.com/buy,2117
iPhone 14 Pro,256GB,16000.00,2026-09-08T14:27:07.871Z,https://www.yellobe.com/buy,2118
iPhone 14 Pro,512GB,17000.00,2026-09-08T14:27:07.871Z,https://www.yellobe.com/buy,2119
iPhone 14 Pro,1TB,17500.00,2026-09-08T14:27:07.871Z,https://www.yellobe.com/buy,2120
iPhone 14 Plus,128GB,13000.00,2026-09-08T14:27:08.426Z,https://www.yellobe.com/buy,2124
iPhone 14 Plus,256GB,14000.00,2026-09-08T14:27:08.426Z,https://www.yellobe.com/buy,2125
iPhone 14 Plus,512GB,14500.00,2026-09-08T14:27:08.426Z,https://www.yellobe.com/buy,2126
iPhone 14,128GB,11000.00,2026-09-08T14:27:08.985Z,https://www.yellobe.com/buy,2121
iPhone 14,256GB,12000.00,2026-09-08T14:27:08.985Z,https://www.yellobe.com/buy,2122
iPhone 14,512GB,12500.00,2026-09-08T14:27:08.985Z,https://www.yellobe.com/buy,2123
iPhone 15,128GB,14500.00,2026-09-08T14:27:09.546Z,https://www.yellobe.com/buy,2425
iPhone 15,256GB,15500.00,2026-09-08T14:27:09.546Z,https://www.yellobe.com/buy,2426
iPhone 15,512GB,16000.00,2026-09-08T14:27:09.546Z,https://www.yellobe.com/buy,2427
iPhone 15 Pro,128GB,18000.00,2026-09-08T14:27:10.107Z,https://www.yellobe.com/buy,2428
iPhone 15 Pro,256GB,19000.00,2026-09-08T14:27:10.107Z,https://www.yellobe.com/buy,2429
iPhone 15 Pro,512GB,20000.00,2026-09-08T14:27:10.107Z,https://www.yellobe.com/buy,2430
iPhone 15 Pro,1TB,20500.00,2026-09-08T14:27:10.107Z,https://www.yellobe.com/buy,2934
iPhone 15 Plus,128GB,15500.00,2026-09-08T14:27:10.671Z,https://www.yellobe.com/buy,2431
iPhone 15 Plus,256GB,16500.00,2026-09-08T14:27:10.671Z,https://www.yellobe.com/buy,2432
iPhone 15 Plus,512GB,17000.00,2026-09-08T14:27:10.671Z,https://www.yellobe.com/buy,2433
iPhone 15 Pro Max,256GB,21500.00,2026-09-08T14:27:11.238Z,https://www.yellobe.com/buy,2434
iPhone 15 Pro Max,512GB,22500.00,2026-09-08T14:27:11.238Z,https://www.yellobe.com/buy,2435
iPhone 15 Pro Max,1TB,23000.00,2026-09-08T14:27:11.238Z,https://www.yellobe.com/buy,2436
iPhone 16,128GB,18000.00,2026-09-08T14:27:11.802Z,https://www.yellobe.com/buy,2678
iPhone 16,256GB,19000.00,2026-09-08T14:27:11.802Z,https://www.yellobe.com/buy,2679
iPhone 16,512GB,20000.00,2026-09-08T14:27:11.802Z,https://www.yellobe.com/buy,2712
iPhone 16 Plus,128GB,21000.00,2026-09-08T14:27:12.377Z,https://www.yellobe.com/buy,2680
iPhone 16 Plus,256GB,22000.00,2026-09-08T14:27:12.377Z,https://www.yellobe.com/buy,2681
iPhone 16 Plus,512GB,23000.00,2026-09-08T14:27:12.377Z,https://www.yellobe.com/buy,2711
iPhone 16 Pro,128GB,21500.00,2026-09-08T14:27:12.938Z,https://www.yellobe.com/buy,2682
iPhone 16 Pro,256GB,22500.00,2026-09-08T14:27:12.938Z,https://www.yellobe.com/buy,2683
iPhone 16 Pro,512GB,23500.00,2026-09-08T14:27:12.938Z,https://www.yellobe.com/buy,2714
