"modelId","detailId","buyId","model","storage","sourceStorage","maxCashPrice","currency","sourceUrl","fetchedAt","fetchedAtSource","flags"
"1165","2936","1641","iPhone 17","256GB","256 GB","21500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:00.547Z","http-response",""
"1165","2937","1641","iPhone 17","512GB","512 GB","23500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:00.547Z","http-response",""
"1165","2938","1641","iPhone 17","1TB","1 TB","24500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:00.547Z","http-response","CAPACITY_NOT_LISTED_BY_MANUFACTURER"
"1166","2939","1642","iPhone Air","256GB","256 GB","21000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.117Z","http-response",""
"1166","2940","1642","iPhone Air","512GB","512 GB","22000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.117Z","http-response",""
"1166","2941","1642","iPhone Air","1TB","1 TB","23000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.117Z","http-response",""
"1167","2942","1643","iPhone 17 Pro","256GB","256 GB","31500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.675Z","http-response",""
"1167","2943","1643","iPhone 17 Pro","512GB","512 GB","33500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.675Z","http-response",""
"1167","2944","1643","iPhone 17 Pro","1TB","1 TB","35500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.675Z","http-response",""
"1167","2945","1643","iPhone 17 Pro","2TB","2 TB","36500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:01.675Z","http-response","CAPACITY_NOT_LISTED_BY_MANUFACTURER"
"1168","2946","1644","iPhone 17 Pro Max","256GB","256 GB","36500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.232Z","http-response",""
"1168","2947","1644","iPhone 17 Pro Max","512GB","512 GB","38500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.232Z","http-response",""
"1168","2948","1644","iPhone 17 Pro Max","1TB","1 TB","40500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.232Z","http-response",""
"1168","2949","1644","iPhone 17 Pro Max","2TB","2 TB","41500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.232Z","http-response",""
"1262","3116","1739","iPhone 17e","256GB","256 GB","13000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.795Z","http-response",""
"1262","3117","1739","iPhone 17e","512GB","512 GB","14000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.795Z","http-response",""
"1262","3118","1739","iPhone 17e","1TB","1 TB","15000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:02.795Z","http-response","CAPACITY_NOT_LISTED_BY_MANUFACTURER"
"367","1125","585","iPhone 12 Mini","64GB","64 GB","4000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.359Z","http-response",""
"367","1126","585","iPhone 12 Mini","128GB","128 GB","4500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.359Z","http-response",""
"367","1127","585","iPhone 12 Mini","256GB","256 GB","4700.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.359Z","http-response",""
"368","1140","590","iPhone 12","64GB","64 GB","5000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:24:25.076Z","existing-cache-file-mtime",""
"368","1141","590","iPhone 12","128GB","128 GB","5500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:24:25.076Z","existing-cache-file-mtime",""
"368","1142","590","iPhone 12","256GB","256 GB","6000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:24:25.076Z","existing-cache-file-mtime",""
"369","1170","600","iPhone 12 Pro","128GB","128 GB","7000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.931Z","http-response",""
"369","1171","600","iPhone 12 Pro","256GB","256 GB","8000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.931Z","http-response",""
"369","1172","600","iPhone 12 Pro","512GB","512 GB","8500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:03.931Z","http-response",""
"370","1182","604","iPhone 12 Pro Max","128GB","128 GB","9000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:04.497Z","http-response",""
"370","1183","604","iPhone 12 Pro Max","256GB","256 GB","10000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:04.497Z","http-response",""
"370","1184","604","iPhone 12 Pro Max","512GB","512 GB","10500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:04.497Z","http-response",""
"570","1898","1031","iPhone 13 Mini","128GB","128 GB","5500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.063Z","http-response",""
"570","1899","1031","iPhone 13 Mini","256GB","256 GB","6500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.063Z","http-response",""
"570","1900","1031","iPhone 13 Mini","512GB","512 GB","7000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.063Z","http-response",""
"571","1901","1032","iPhone 13","128GB","128 GB","9500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.627Z","http-response",""
"571","1902","1032","iPhone 13","256GB","256 GB","10000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.627Z","http-response",""
"571","1903","1032","iPhone 13","512GB","512 GB","10500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:05.627Z","http-response",""
"572","1904","1033","iPhone 13 Pro","128GB","128 GB","11000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.188Z","http-response",""
"572","1905","1033","iPhone 13 Pro","256GB","256 GB","12000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.188Z","http-response",""
"572","1906","1033","iPhone 13 Pro","512GB","512 GB","12500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.188Z","http-response",""
"573","1907","1034","iPhone 13 Pro Max","128GB","128 GB","12500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.750Z","http-response",""
"573","1908","1034","iPhone 13 Pro Max","256GB","256 GB","13500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.750Z","http-response",""
"573","1909","1034","iPhone 13 Pro Max","512GB","512 GB","14000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.750Z","http-response",""
"573","2935","1034","iPhone 13 Pro Max","1TB","1 TB","14500.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:06.750Z","http-response",""
"694","2113","1155","iPhone 14 Pro Max","128GB","128 GB","17000.00","THB","https://www.yellobe.com/home/type3_v2","2026-09-08T14:27:07.307Z","http-response",""
