หมวดที่ 1: สินทรัพย์ (Assets),,,
เลขบัญชี,ชื่อบัญชี,เลขที่บัญชีในเบสท์ช้อยส์,หมายเหตุ
11-1000,สินทรัพย์หมุนเวียน,,
11-11XX,กลุ่มเงินสดและรายการเทียบเท่าเงินสด,,
11-1101,เงินสด - เงินสด - สุทธินีย์ คงเดช,,
11-1102,เงินสด - เงินสด - เอกนรินทร์ คงเดช,,
11-1103,เงินสด - เงินสด - พนักงานบัญชี,,
11-12XX,กลุ่มเงินฝากธนาคาร,,
11-1201,ธนาคาร - บัญชีออมทรัพย์ - ธ.กสิกรไทย ออมทรัพย์ - 2031165205 เบสท์ช้อยส์โฟน,,
11-1202,ธนาคาร - บัญชีออมทรัพย์ - ธ.ไทยพาณิชย์ ออมทรัพย์ - 579-413208-8 ค่าใช้จ่าย,,
11-1203,ธนาคาร - บัญชีออมทรัพย์ - ธ.ไทยพาณิชย์ ออมทรัพย์ - 579-413209-6 ค่าเสื่อม,,
11-21XX,กลุ่มลูกหนี้และสินทรัพย์หมุนเวียนอื่น,,
11-2101,ลูกหนี้การค้า,,
11-31XX,กลุ่มสินค้าคงเหลือ,,
11-3101,ต้นทุนมือถือ (ใหม่),,
11-3102,ต้นทุนมือถือ (มือสอง),,
11-41XX,กลุ่มภาษีและสินทรัพย์หมุนเวียนอื่นๆ,,
11-4101,ภาษีซื้อ,,
11-4102,ภาษีซื้อยังไม่ถึงกำหนด,,
11-4103,ภาษีถูกหัก ณ ที่จ่าย,,
12-2000,สินทรัพย์ไม่หมุนเวียน,,
12-21XX,กลุ่มที่ดิน อาคาร และอุปกรณ์,,
12-2101,อุปกรณ์สำนักงาน,,สินทรัพย์
12-2102,หัก ค่าเสื่อมราคา - อุปกรณ์สำนักงาน,,บัญชีปรับมูลค่า
12-2103,ส่วนปรับปรุงอาคาร,,สินทรัพย์
12-2104,หีก ค่าเสื่อมราคา - ส่วนปรับปรุงอาคาร,,บัญชีปรับมูลค่า
12-2105,เครื่องตกแต่งสำนักงาน,,สินทรัพย์
12-2106,ค่าเสื่อมราคา - เครื่องตกแต่งสำนักงาน,,บัญชีปรับมูลค่า
12-2107,ยานพาหนะ,,สินทรัพย์
12-2108,ค่าเสื่อมราคา - ยานพาหนะ,,บัญชีปรับมูลค่า
หมวดที่ 2: หนี้สิน (Liabilities),,,
เลขบัญชี,ชื่อบัญชี,,หมายเหตุ
21-0000,หนี้สินหมุนเวียน,,
21-11XX,กลุ่มเจ้าหนี้การค้าและเจ้าหนี้อื่น,,
21-1101,เจ้าหนี้การค้า,,สำหรับซื้อโทรศัพท์
21-1102,เจ้าหนี้ค่าใช้จ่ายกิจการ,,ค่าใช้จ่ายทั่วไปที่ค้างจ่าย
21-1103,ค่าโปรแกรม CANVA ค้างจ่าย,,ค่าใช้จ่ายทั่วไปที่ค้างจ่าย
21-21XX,กลุ่มภาษีมูลค่าเพิ่ม (VAT),,
21-2101,ภาษีขาย ภ.พ.30,,ภาษีขายที่เกิดในเดือนนั้นๆ
21-2102,ภาษีขายรอเรียกเก็บ,,ภาษีขายที่ส่งของแล้วแต่ยังไม่ออกใบกำกับ
21-2103,ภ.พ.36 ค้างจ่าย,,ภาษีมูลค่าเพิ่มจากการจ่ายเงินไปต่างประเทศ
21-31XX,กลุ่มภาษีหัก ณ ที่จ่าย (WHT),,
21-3101,ภ.ง.ด. 1 ค้างจ่าย,,หัก ณ ที่จ่าย เงินเดือนพนักงาน
21-3102,ภ.ง.ด. 3 ค้างจ่าย,,หัก ณ ที่จ่าย บุคคลธรรมดา
21-3103,ภ.ง.ด. 53 ค้างจ่าย,,หัก ณ ที่จ่าย นิติบุคคล
21-32XX,กลุ่มเจ้าหนี้สรรพากร (Tax Payable),,
21-3201,เจ้าหนี้สรรพากร ภ.พ.30 รอชำระ,,ยอดเน็ตที่ต้องจ่ายหลังหักภาษีซื้อ/ขาย
21-3202,เจ้าหนี้สรรพากร ภ.ง.ด. 53 รอชำระ,,ยอดที่สรุปเตรียมไปยื่นแบบ
21-41XX,กลุ่มเงินรับฝากและหนี้สินอื่น,,
21-4101,ลูกค้าโอนเงินผิดพลาด,,เงินพักรอคืนหรือรอตรวจสอบ
21-4102,เงินค้ำประกันพนักงาน,,เงินที่หักไว้เพื่อค้ำประกันการทำงาน
22-0000,หนี้สินไม่หมุนเวียน,,
22-1101,เงินกู้ยืมกรรมการ,,เงินสดที่กรรมการสำรองให้กิจการ
หมวดที่ 3: ส่วนของผู้ถือหุ้น (Equity),,,
เลขบัญชี,ชื่อบัญชี,,หมายเหตุ
31-0000,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,,
31-1101,หุ้นสามัญ,,บันทึกมูลค่าหุ้นตามที่จดทะเบียนและชำระจริง
32-0000,กำไร (ขาดทุน) สะสม,,
32-1101,กำไร(ขาดทุน)สะสม,,
หมวดที่ 4: รายได้ (Revenues),,,
เลขบัญชี,ชื่อบัญชี,,หมายเหตุ
41-0000,รายได้จากการขายและบริการ,,
41-11XX,กลุ่มรายได้จากการขาย,,
41-1101,รายได้ มือถือ (ใหม่),,
41-1102,รายได้ มือถือ (มือสอง),,
41-21XX,กลุ่มรายการปรับปรุงรายได้,,
41-2101,(หัก) ส่วนลดจ่าย,,
42-0000,รายได้อื่น,,
42-11XX,กลุ่มรายได้เบ็ดเตล็ด,,
42-1101,รายได้ส่วนเกินจากการปัดเศษ,,กรณีรับเงินสดแล้วมีเศษสตางค์ที่ปัดขึ้น
42-1102,ดอกเบี้ยเงินฝาก,,ดอกเบี้ยรับจากบัญชีธนาคารของกิจการ
42-1103,ค่าปรับชำระล่าช้า,,กรณีขายเชื่อแล้วลูกค้าจ่ายเงินเกินกำหนด
42-1104,รายได้จากการหักค่าจ้าง (ขาด ลา มาสาย),,เงินที่หักจากพนักงานตามระเบียบวินัย
หมวดที่ 5: ค่าใช้จ่าย (Expenses),,,
เลขบัญชี,ชื่อบัญชี,,หมายเหตุ
51-0000,ต้นทุนขาย,,
