"id","ref_order_code","ref_product_code","ref_product_brand","ref_product_name","ref_product_price","ref_product_color","ref_product_storage","product_type","deposit","finance","increase","increase_amount","commission_admin","finance_befor_tax","sales_tax","finance_amount","finance_cost","cost_report_rd","installment_amount","installment_number","finance_per_month","increase_per_month","sales_tax_per_month","installment_total","processing","detail_quantity","detail_amount","detail_status","mobile_imei","mobile_serial_no","created_by","created_at","updated_at","updated_by"
"1","REQ2504-00001","350407038887181","Apple","iPhone 13 128 Gb สีน้ำเงิน","14500","2","128 Gb","2","2900","0","1.91","0","0","0","0","11600","0","0","2211","10","0","0","0","22110","0","1","25010","1","350407038887181","RN2X2Y2W0K","admins","2025-04-02 14:01:12","2025-04-02 14:01:50","admins"
"2","REQ2504-00002","351055821964227","Apple","iPhone 14 Pro 128 Gb สีทอง","22900","23","128 Gb","2","6000","0","1.94","0","0","0","0","16900","0","0","3280","10","0","0","0","32800","0","1","38800","1","351055821964227","FWYWQPH4R7","admins","2025-04-03 11:08:37","2025-04-03 11:10:02","admins"
"3","REQ2504-00003","357627942693093","Apple","iPhone 15 Pro 128 Gb ไทเทเนียมธรรมชาติ","26900","28","128 Gb","2","6000","0","1.87","0","0","0","0","20900","0","0","3904","10","0","0","0","39040","0","1","45040","1","357627942693093","M23VT417GK","admins","2025-04-03 12:05:26","2025-04-03 12:06:06","admins"
"4","REQ2504-00004","355238410944836","Apple","iPhone 12 128 Gb สีม่วง","11500","1","128 Gb","2","4000","0","1.82","0","0","0","0","7500","0","0","1365","10","0","0","0","13650","0","1","17650","1","355238410944836","ื์N26R62CW0V","admins","2025-04-05 13:18:00","2025-04-05 13:18:21","admins"
"5","REQ2504-00005","354551546469523","Apple","iPhone 15 Pro 128 Gb ไทเทเนียมน้ำเงิน","26900","29","128 Gb","2","8000","0","1.88","0","0","0","0","18900","0","0","3547","10","0","0","0","35470","0","1","43470","1","354551546469523","MV021149VQ","admins","2025-04-05 13:55:33","2025-04-05 13:56:46","admins"
"6","REQ2504-00006","353829105983535","Apple","iPhone 11 Pro 256 Gb สีทอง","11900","12","256 Gb","2","2400","0","1.82","0","0","0","0","9500","0","0","1732","10","0","0","0","17320","0","1","19720","1","353829105983535","DNPZQ0VAN6Y8","admins","2025-04-05 15:39:25","2025-04-05 15:39:58","admins"
"7","REQ2504-00007","353103647593420","Apple","iPhone 13 Pro 128 Gb สีขาว","17900","4","128 Gb","2","5000","0","1.83","0","0","0","0","12900","0","0","2365","10","0","0","0","23650","0","1","28650","1","353103647593420","HJ075664WJ","admins","2025-04-07 10:53:16","2025-04-07 10:54:41","admins"
"8","REQ2504-00008","355602544549920","Apple","iPhone 13 128 Gb สีเขียว","14500","3","128 Gb","2","3000","0","1.819","0","0","0","0","11500","0","0","2091.85","10","0","0","0","20918.5","0","1","23918.5","1","355602544549920","XGDQ2232JN","admins","2025-04-09 13:18:26","2025-04-09 13:20:11","admins"
"9","REQ2504-00009","358216481505758","Apple","iPhone 13 Pro Max 128 Gb สีขาว","20900","4","128 Gb","2","5000","0","1.819","0","0","0","0","15900","0","0","2892.21","10","0","0","0","28922.1","0","1","33922.1","1","358216481505758","R04M95XXDP","admins","2025-04-09 13:41:04","2025-04-09 13:42:34","admins"
"10","REQ2504-00010","353908108549780","Apple","iPhone 11 Pro Max 64 Gb เทาสเปซเกรย์","11500","21","64 Gb","2","2300","0","1.819","0","0","0","0","9200","0","0","1673.48","10","0","0","0","16734.8","0","1","19034.8","1","353908108549780","F2LCG9YYN870R","admins","2025-04-09 14:47:26","2025-04-09 14:48:05","admins"
"11","REQ2504-00011","356579550229036","Apple","iPhone 13 Pro Max 256 Gb สีดำ","21900","5","256 Gb","2","8800","0","1.819","0","0","0","0","13100","0","0","2382.89","10","0","0","0","23828.9","0","1","32628.9","1","356579550229036","P3WPR6X64F","admins","2025-04-09 18:19:57","2025-04-09 18:21:15","admins"
